Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames,,,,,,
91,11662693,[Deleted] 36b5c0dd-c67b-4c2c-81e6-b2a1aa934a89,3/9/2024 0:37,0.11732,2,del=dfadb122af486f03,,,,,,
92,6822550,faycal123,4/12/2024 12:01,0.1174,22,faycal123,,,,,,
93,8601334,Laszlore,2/29/2024 17:10,0.11743,1,laszlore,,,,,,
94,10565621,Mesut S. Sisman,3/23/2024 20:29,0.11754,6,mesutssmn,,,,,,
95,3838675,Brain,3/26/2024 6:30,0.11755,52,braincai,,,,,,
96,11632103,Braham,4/13/2024 0:26,0.11758,35,braham1961,,,,,,
97,11830858,Youssef1929,4/7/2024 18:53,0.11762,60,youssef1929,,,,,,
98,8111398,MattHSmit,4/2/2024 2:50,0.11782,106,matthsmit,,,,,,
99,11824741,Bohdan Usatov,4/26/2024 14:52,0.11783,37,busatov,,,,,,
100,11924334,Djukka,4/27/2024 16:16,0.11784,8,djukka,,,,,,
101,12006822,AGS Lakshmi,4/27/2024 19:27,0.11786,5,agslakshmi,,,,,,
102,11819990,Prathamydvv,4/26/2024 17:43,0.1179,3,prathamydvv,,,,,,
103,11298906,TakamaruEX,4/7/2024 9:08,0.11796,1,takamaruex,,,,,,
104,11874371,hetaiguang,4/2/2024 9:12,0.11796,2,hetaiguang,,,,,,
105,8800242,Federico Griggio,4/15/2024 21:24,0.11799,21,federicogriggio,,,,,,
106,11787615,ganxing,3/18/2024 15:36,0.11803,6,ganxing,,,,,,
107,11754079,JashariSarë,3/11/2024 19:24,0.11817,22,jasharisar,,,,,,
108,11906908,pengsiv,4/19/2024 12:02,0.11826,5,pengsiv,,,,,,
109,11567518,Zbigniew Kirchner,4/22/2024 22:22,0.11836,2,zbigniewkirchner,,,,,,
110,11798872,SQLDUDE,3/25/2024 19:23,0.11836,29,abstractsqlengineer,,,,,,
111,2455571,Otodo,3/28/2024 0:42,0.1184,22,toshinarikori,,,,,,
112,10143514,Michael161989,4/4/2024 11:36,0.11844,2,michael161989,,,,,,
113,11792458,[Deleted] a8dffc14-3b04-421a-b6aa-dc1985e40e30,3/27/2024 18:06,0.11852,24,del=d2e0c7d260844f00,,,,,,
114,11794850,Nyaruchan,3/26/2024 8:18,0.11854,13,nyaruchan,,,,,,
115,11679459,ploradoaa,3/26/2024 18:09,0.11874,7,ploradoaa,,,,,,
116,5911846,Javier Reinoso,3/4/2024 19:56,0.11898,1,javierreinoso,,,,,,
117,11822829,Ayuko Shimazaki,4/13/2024 1:09,0.11899,19,ayukoshimazaki,,,,,,
118,11898400,Zaccaria Amillou,4/6/2024 7:52,0.11901,12,zaccariaamillou,,,,,,
119,8725379,Murugesan Narayanaswamy,4/4/2024 15:49,0.11908,1,murugesann,,,,,,
120,10528704,Nick Sibo Zhu,3/14/2024 5:34,0.11908,26,nicksibozhu,,,,,,
121,8565001,okera9,3/17/2024 9:57,0.11919,37,okera9,,,,,,
122,1210041,Виталий Мирошниченко (ШАД Киев),4/15/2024 7:13,0.11929,29,wailtmir,,,,,,
123,11754294,sarejashari,3/10/2024 23:03,0.11935,12,sarejashari,,,,,,
124,11729255,Mirage Xi,3/5/2024 8:30,0.11936,1,miragexi,,,,,,
125,11851393,jesusvallejo1984,4/27/2024 16:21,0.11939,8,jesusvallejo1984,,,,,,
126,11877681,thanhtuananhiu,4/2/2024 14:47,0.11939,1,thanhtuananhiu,,,,,,
127,11977164,qpuch,4/19/2024 1:39,0.11939,1,qpuchen,,,,,,
128,10999396,sky forever,4/24/2024 13:40,0.11939,1,skyforever,,,,,,
129,11560089,eigenstate #2,2/28/2024 0:51,0.1194,16,eigenstate27,,,,,,
130,11109804,enera-one,3/2/2024 13:41,0.11946,1,eneraone,,,,,,
131,11790069,Andyly wu,3/17/2024 8:16,0.11946,2,andylywu,,,,,,
132,11804414,DJandLSS,3/20/2024 0:18,0.11946,1,djandlss,,,,,,
133,8886777,Suchard,4/12/2024 4:03,0.11946,3,suchard,,,,,,
134,11942765,Stickclose,4/16/2024 8:31,0.11946,14,stickclose,,,,,,
135,11952395,Wenmin Zhang,4/15/2024 13:22,0.11946,1,wenminzhang,,,,,,
136,10537963,clayton21,3/24/2024 8:42,0.11947,3,clayton21,,,,,,
137,11958410,huawuhui,4/17/2024 15:28,0.1195,4,huawuhui,,,,,,
138,11638781,Ikjot Singh #2,3/2/2024 18:34,0.11952,2,"ikjotsingh221,prishasawhney",,,,,,
139,11692527,Selo75,3/1/2024 14:54,0.11953,2,selo75,,,,,,
140,11692657,mohamed nasser126,3/7/2024 17:56,0.11957,8,mohamednasser126,,,,,,
141,11784132,Kalyani Patil,3/26/2024 14:30,0.11957,4,kalyanipatil13,,,,,,
142,11890591,Tianxuan Ding,4/8/2024 7:41,0.11957,3,tianxuanding,,,,,,
143,11755159,Leonid Stepanov,3/19/2024 12:53,0.11957,3,lestep,,,,,,
144,11849636,phllhp,4/1/2024 13:10,0.11958,1,phllhp,,,,,,
145,11874756,xuluotong,4/2/2024 5:58,0.11958,4,xuluotong,,,,,,
146,11874736,Lym0408,4/2/2024 5:44,0.11958,1,lyimou,,,,,,
147,11884111,Yaqin Jiang,4/11/2024 5:38,0.11959,11,yaqinjiang,,,,,,
148,1784359,Pavinthan,3/17/2024 15:34,0.1196,1,pavinthan,,,,,,
149,11817064,melon-cc,4/17/2024 9:40,0.1196,20,meloncc,,,,,,
150,9654396,Ahmed Gouda,3/7/2024 16:01,0.11963,1,ahmedgouda8wo,,,,,,
151,11201220,Senan Soga,4/12/2024 9:46,0.11964,1,senansoga,,,,,,
152,10730141,[Deleted] 884c22ea-1731-4cb3-916f-3e04181cd330,3/22/2024 2:39,0.11965,11,del=89218f8e946917d5,,,,,,
153,11712411,Hayasaka,3/28/2024 12:41,0.11969,158,ryotahayasaka22,,,,,,
154,11744116,Asher Erickson,4/12/2024 3:17,0.11971,30,ashererickson,,,,,,
155,11773705,Yisshiky,3/19/2024 13:54,0.11978,1,yisshiky,,,,,,
156,11604843,john_esj1,3/1/2024 9:33,0.1198,10,johnesj1,,,,,,
157,12000926,SunXing2103,4/27/2024 14:16,0.11982,6,"elizabethsy,llisky,sunxing2103,xiaotian666",,,,,,
158,11741883,mame,4/25/2024 3:05,0.11982,170,chiekowatanabe,,,,,,
159,11956850,Yeheng Sun,4/16/2024 20:13,0.11985,1,yehengsun,,,,,,
160,11906265,Team Genius,4/11/2024 7:25,0.11985,8,"wangshiyi2024,zhm20000630",,,,,,
161,11708448,King of Nonsense,4/10/2024 8:05,0.11985,1,kingofnonsense,,,,,,
162,11804345,Victor Khou,3/21/2024 4:31,0.11987,6,victorkhou,,,,,,
163,2892454,Olaitan Fagbamila,4/25/2024 18:49,0.11988,1,sfagbamila,,,,,,
164,11551244,Ian Howe 89,4/8/2024 10:01,0.11991,34,ianhowe89,,,,,,
165,11640394,username78713,2/28/2024 5:13,0.11993,1,username78713,,,,,,
166,11849770,Winnower,3/31/2024 1:16,0.11994,10,winnower,,,,,,
167,11563522,fred Luo,3/13/2024 15:12,0.11994,1,fredluo,,,,,,
168,11879532,Jacob Zott,4/17/2024 0:45,0.11994,1,jacobzott,,,,,,
169,11677061,naga #2,3/4/2024 15:05,0.11994,1,nagasesha,,,,,,
170,10816671,Tianhao Liang,3/10/2024 1:37,0.11994,1,tianhaoliang,,,,,,
171,8955302,Anna好棒棒,3/2/2024 8:41,0.11994,2,"annawu00,melody576938,takasugi2375",,,,,,
172,11714659,CarolineHsu21,3/3/2024 16:07,0.11994,3,carolinehsu21,,,,,,
173,11481161,Yoshi2739,4/21/2024 0:20,0.11994,62,yoshi2739,,,,,,
174,11950125,Vasudev Srivastava,4/27/2024 19:03,0.11994,35,vasudevsrivastava,,,,,,
175,11668854,joe0222,3/15/2024 14:27,0.11994,11,joe0222,,,,,,
176,11925225,marzyh,4/19/2024 18:59,0.11996,6,marzyh,,,,,,
177,9444235,Physix_1978,3/7/2024 11:26,0.11999,1,pkennis,,,,,,
178,8370874,wsfreasy,3/15/2024 0:27,0.11999,3,wsfreasy,,,,,,
179,11745698,pangerdahai,3/8/2024 1:41,0.11999,1,pangerdahai,,,,,,
180,11745631,cy_0517,3/15/2024 3:03,0.11999,2,cy0517,,,,,,
181,10137135,Garvenn,3/8/2024 1:53,0.11999,1,garvenn,,,,,,
182,11745799,XiaoYecangxue,3/21/2024 13:07,0.11999,10,xiaoyecangxue,,,,,,
183,11745712,velpro_zzz,3/15/2024 3:22,0.11999,2,velprozzz,,,,,,
184,11745757,userhuang #2,3/8/2024 1:55,0.11999,1,userhuang,,,,,,
185,11745632,liwenjin020,3/8/2024 1:59,0.11999,1,liwenjin020,,,,,,
186,11745709,yukichenfirst,3/8/2024 2:01,0.11999,1,yukichenfirst,,,,,,
187,11745768,GG_bond6666,3/15/2024 3:55,0.11999,3,ggbond6666,,,,,,
188,11745785,super master11,3/8/2024 3:35,0.11999,1,supermaster11,,,,,,
189,11745790,lqmym1119,3/8/2024 3:43,0.11999,1,lqmym1119,,,,,,
190,11746077,super dog22,3/8/2024 3:55,0.11999,1,superdog22,,,,,,
191,11745788,yangzzzc,3/8/2024 3:57,0.11999,1,yangzzzc,,,,,,
192,11745740,twokatwo,3/8/2024 4:10,0.11999,1,twokatwo,,,,,,
193,7715848,James Vu Bui,3/15/2024 7:10,0.12002,10,jamesvubui,,,,,,
194,11929259,Meaniio,4/23/2024 3:45,0.12003,3,meaniio,,,,,,
195,11835080,Cj Von herrath,4/10/2024 20:32,0.12004,18,cjvonherrath,,,,,,
196,11741056,DaanX,3/12/2024 3:40,0.12006,3,daanxiao,,,,,,
197,11750435,[Deleted] 49513c70-9022-4ac7-b548-a4bab805a13c,3/9/2024 14:50,0.12007,20,del=cdaffea335f14a83,,,,,,
198,11949085,WLXY,4/15/2024 6:45,0.12008,8,wliangxyz,,,,,,
199,11317875,xxxiao7,3/6/2024 6:18,0.1201,2,xxxiao7,,,,,,
200,11745769,Nemopjilist,3/15/2024 3:55,0.1201,2,nemopjilist,,,,,,
201,11745639,冥尘襟丶,3/22/2024 0:17,0.1201,5,llmingchenjin,,,,,,
202,11745747,GonglongWu,3/8/2024 1:54,0.1201,1,gonglongwu,,,,,,
203,10098634,qinmia,3/8/2024 2:00,0.1201,1,qinmia,,,,,,
204,11745596,misty_yellow,3/15/2024 0:25,0.1201,2,mistyyellow,,,,,,
205,11811875,yangyisen,3/24/2024 17:04,0.1201,4,yysyangyisen,,,,,,
206,11790533,MrNosaj,4/2/2024 11:53,0.1201,6,mrnosaj,,,,,,
207,11864647,Lee #5,4/10/2024 16:35,0.1201,2,limengfan00,,,,,,
208,11915344,Marshall Grinstead,4/12/2024 4:56,0.1201,38,marshallgrinstead,,,,,,
209,11990930,tangwt,4/22/2024 1:55,0.1201,1,tangwt,,,,,,
210,11833299,yhbhhh,4/16/2024 12:50,0.12011,18,yhbhhh,,,,,,
211,11720108,Dor Adiv,4/4/2024 18:23,0.12011,20,doradiv,,,,,,
212,11768658,Muutaiki,4/24/2024 16:11,0.12011,2,muutaiki,,,,,,
213,11549286,(V:V),3/11/2024 5:09,0.12011,17,"namphanvanhai,trungminh7804",,,,,,
214,11629518,HafrozaHaris,3/11/2024 17:24,0.12011,9,hafrozaharis,,,,,,
215,11248578,Jihyun Park,3/17/2024 15:25,0.12011,1,jpark0010,,,,,,
216,11803636,Wercia,3/19/2024 19:25,0.12011,1,wercia,,,,,,
217,11916612,Honma Hikau,4/23/2024 3:09,0.12011,29,"hirokiiiiiiiiiii,honmahikau,knot72,rintaochi,yuni24157718",,,,,,
218,11793959,eo.jaemyeong,3/23/2024 15:28,0.12011,3,eojaemyeong,,,,,,
219,11799019,StewartLokcp,4/19/2024 4:20,0.12012,2,stewartlokcp,,,,,,
220,11691962,HARSH KISHNANI,3/8/2024 13:12,0.12012,16,harshkishnani,,,,,,
221,11998486,Runtian Zhai,4/27/2024 22:11,0.12013,18,"rattatapq,runtianzhai",,,,,,
222,11680740,Yonathan Levy,3/8/2024 12:02,0.12013,1,yonathanlevy,,,,,,
223,11816412,Fukushima Atsumoto,4/9/2024 7:22,0.12018,1,fukushimaatsumoto,,,,,,
224,8281875,Thái Minh #2,4/20/2024 10:51,0.12021,9,thaiminhpv,,,,,,
225,11509257,[Deleted] df52de76-6042-4c8b-8240-89b6c6d04bc1,3/1/2024 6:59,0.12022,24,del=b37ed367c7e782aa,,,,,,
226,11716470,[Deleted] 10596f8d-abfb-49c9-af39-bd0c22385b8b,3/2/2024 20:44,0.12022,1,del=da1d3f5575a6aaf8,,,,,,
227,11593653,Neil_Patel14,3/1/2024 22:13,0.12022,1,neilpatel14,,,,,,
228,11753529,[Deleted] 661f0c9f-fa40-44cc-bff8-66af060088b0,3/9/2024 15:58,0.12027,1,del=7e09d23574d38e97,,,,,,
229,11655474,changjiangzhang2023,3/12/2024 4:25,0.12029,27,changjiangzhang2023,,,,,,
230,11852405,FreddyX,3/30/2024 11:55,0.1203,1,freddyx,,,,,,
231,11465499,megumi.109,3/10/2024 7:02,0.12031,41,megumih,,,,,,
232,11571762,InasHussain,3/11/2024 2:33,0.12032,2,inashussain,,,,,,
233,11512762,J A S,3/22/2024 10:00,0.12036,3,javieralfonsoseijas,,,,,,
234,11509603,toshi1048,3/5/2024 13:19,0.12038,40,toshi1048,,,,,,
235,11765197,Cosmo Clara,3/24/2024 11:48,0.12039,27,cosmoclara,,,,,,
236,11950268,janton7,4/24/2024 8:14,0.12042,18,janton7,,,,,,
237,11756765,Zgc0328,3/19/2024 21:07,0.12046,6,zgc0328,,,,,,
238,11776914,CC gang,3/14/2024 7:36,0.1205,1,ccgang,,,,,,
239,11778520,aziz marouani,4/13/2024 10:53,0.12054,2,azizmarouani,,,,,,
240,11750320,[Deleted] fbf5c2f2-a5b9-4b7e-ab5a-a28d2af3ee98,3/8/2024 20:57,0.12059,10,del=44db1ed360c2ed4c,,,,,,
241,7998659,kosuke kakimi,3/19/2024 20:27,0.12059,1,kosukekakimi,,,,,,
242,11733079,[Deleted] dc7e798a-1459-4031-aa4d-805d4bc75b3b,3/5/2024 22:13,0.12064,10,del=32a7f181fe981566,,,,,,
243,11778490,Wissal Ben Othmen,3/29/2024 23:32,0.12066,1,wissalbenothmen,,,,,,
244,11731642,[Deleted] 7673e260-2e4f-4317-8bda-924d65f09fcb,3/5/2024 17:28,0.12067,10,del=2df07521ac7f68e0,,,,,,
245,11749340,Shihao R,4/27/2024 15:31,0.12068,3,shihaor,,,,,,
246,10515113,TT_TT9909,4/5/2024 17:56,0.1207,1,tttt9909,,,,,,
247,11966552,b_us_dr,4/19/2024 20:21,0.12071,17,busatovdr,,,,,,
248,10339171,yfz-new,3/8/2024 15:32,0.12079,6,yfznew,,,,,,
249,11257871,好好好,3/20/2024 10:51,0.12082,1,"cemhwkkk,kelvon,skschic,yinhengli203203",,,,,,
250,11159652,Viraj Mohile,4/13/2024 2:02,0.12084,1,virajmohile,,,,,,
251,11646767,Ezifenlin,3/26/2024 13:22,0.12085,1,ezifenlin,,,,,,
252,7542548,Olena Fylymonova,3/3/2024 21:20,0.12089,4,olenafylymonova,,,,,,
253,9297783,Atif Suhail,3/14/2024 19:23,0.1209,1,atifsuhail,,,,,,
254,11794450,dairuihhh,3/27/2024 13:39,0.12092,35,dairuihhh,,,,,,
255,11877359,Phạm Thị Hồng Duyên,4/2/2024 14:15,0.12095,1,phmthhngduyn,,,,,,
256,11805783,stone blue,3/20/2024 9:59,0.12096,2,stoneblue,,,,,,
257,11726247,Alexander Dumnov,3/10/2024 20:28,0.12099,1,alexanderdumnov,,,,,,
258,11732722,[Deleted] c9df2749-55dd-4fcb-8063-e4dd7ac37460,3/5/2024 21:33,0.12103,10,del=d3d1d560376b469b,,,,,,
259,6954615,JieShenDS2020,3/1/2024 1:21,0.12104,1,jieshends2020,,,,,,
260,11761026,SyedaRizvi00,3/11/2024 11:11,0.12107,10,syedarizvi00,,,,,,
261,11510140,NadhemBenhadjali,4/16/2024 22:07,0.12108,1,nadhembenhadjali,,,,,,
262,11626756,Jassim Alkuwrai,3/10/2024 16:38,0.12108,40,jalkuwari,,,,,,
263,11852474,MaxA,4/18/2024 15:06,0.12108,3,elliotx1000,,,,,,
264,11730709,Lucien111,3/11/2024 9:12,0.1211,2,lucien111,,,,,,
265,11859171,RenzoVal123,4/21/2024 0:05,0.12112,12,renzoval123,,,,,,
266,11468216,Conor War,3/25/2024 5:57,0.12116,14,conorwar,,,,,,
267,11726582,[Deleted] 9bbc5891-3b06-4ab3-a18e-df04fb990960,3/4/2024 20:53,0.12116,10,del=a29585a2e5ff1564,,,,,,
268,11726662,[Deleted] 3a6d1dd1-9aed-481c-b012-923511cb8bfa,3/4/2024 21:17,0.12116,10,del=c3d0e28ef80b79fc,,,,,,
269,11761689,Syeda2000000,3/11/2024 13:01,0.12119,10,syeda2000000,,,,,,
270,11754850,[Deleted] 0bd2d39b-bfdb-4483-92ee-00bbb1a89915,3/11/2024 9:27,0.12121,30,del=16b04a5ccabcfc84,,,,,,
271,11884294,echoinsky,4/10/2024 3:20,0.12121,2,echoinsky,,,,,,
272,11621418,Troy Dutton,2/29/2024 3:04,0.12121,7,troydutton,,,,,,
273,11723340,akifumi007,4/6/2024 11:09,0.12127,122,akifumi007,,,,,,
274,11696485,mznxzkca,2/29/2024 7:08,0.12128,4,mznxzkca,,,,,,
275,11695928,リオネル・ヨシ,3/4/2024 5:07,0.12131,13,liaoyouxi,,,,,,
276,11726723,[Deleted] cb226d09-4ff3-4770-b673-24e8df2356cb,3/4/2024 21:36,0.12132,10,del=67d10bd80191c233,,,,,,
277,11950215,wymapu,4/15/2024 6:21,0.12133,2,wymapu,,,,,,
278,11661982,xxsg_559,3/6/2024 11:30,0.12133,8,xxsg559,,,,,,
279,11711078,thanhnhan1234,3/6/2024 15:35,0.1214,19,thanhnhan1234,,,,,,
280,11756672,OUC_阎昭宇,3/11/2024 10:29,0.1214,3,oucyzy,,,,,,
281,11153181,hisa nakanishi,3/26/2024 8:15,0.1214,2,hisanakanishi,,,,,,
282,10807206,nakazkan,3/3/2024 15:26,0.12141,4,nakazkan,,,,,,
283,11804904,Sherryyy11,4/15/2024 7:21,0.12141,7,sherryyy11,,,,,,
284,11334969,NT #2,4/4/2024 14:24,0.12146,79,ntomiya,,,,,,
285,11683465,Rishdhi Sabith,3/13/2024 10:28,0.12148,1,rishdhisabith,,,,,,
286,11667562,Graham Bishop,3/7/2024 15:50,0.12149,6,gbishop345,,,,,,
287,11724944,rockyhg,4/14/2024 5:16,0.1215,92,rockyhg,,,,,,
288,11787383,Jaume Dolcet,3/18/2024 20:06,0.1215,2,jaumedolcet,,,,,,
289,11772147,Alexander Krasnopeev,3/13/2024 9:06,0.12151,2,alexanderkrasnopeev,,,,,,
290,11816331,Angelo D.,4/27/2024 9:40,0.12151,87,diegocc3,,,,,,
